id,nom,sexe,région,âge,culture
2434,Mamadou Boubacar Sy,M,Thiès,48,sésame
2435,Coumba Faye,F,Matam,54,mais
2436,Mamadou Diop Barry,M,Ziguinchor,43,arachide
2437,Pape Koulibaly,M,Saint-Louis,51,haricot
2438,Sidy Diakhate,M,Matam,52,arachide
2439,Aissatou Faye,F,Diourbel,28,autres
2440,Sidy Diagne,M,Fatick,19,haricot
2441,Coumba Balde,F,Fatick,22,coton
2442,Bineta Sow,F,Ziguinchor,52,légumes
2443,Aissatou Kouyaté,F,Diourbel,61,légumes
2444,Abdoulaye Toure,M,Sédhiou,61,coton
2445,El Hadji Kouyaté,M,Mbour,43,mais
2446,Bineta Faye,F,Kolda,18,sésame
2447,Mariama Sy,F,Tambacounda,56,manioc
2448,Modou Diouf,M,Diourbel,36,autres
2449,Mamadou Lamine Keita,M,Sédhiou,59,igname
2450,Aissatou Diakhate,F,Dakar,24,patate douce
2451,Maty Camara,F,Ziguinchor,44,igname
2452,Mamadou Sow Gueye,M,Fatick,43,manioc
2453,Khady Sy,F,Saint-Louis,35,coton
2454,Mamadou Ndiaye Diop,M,Kolda,43,igname
2455,Moussa Ba,M,Ziguinchor,65,légumes
2456,Aminata Cissé,F,Sédhiou,51,mil
2457,Aissatou Gassama,F,Sédhiou,65,sésame
2458,helene Kane,F,Diourbel,25,igname
2459,Maty Koulibaly,F,Matam,45,riz
2460,Mamadou Barry,M,Saint-Louis,37,riz
2461,Aissatou Diakhate,F,Kolda,48,autres
2462,Seynabou Keita,F,Sédhiou,55,fruits
2463,Mamadou Sow Diakhate,M,Louga,50,légumes
2464,Mamadou Sow Sow,M,Diourbel,33,mil
2465,Coumba Sow,F,Saint-Louis,61,mais
2466,Mamadou Diop Gueye,M,Sédhiou,60,manioc
2467,El Hadji Sow,M,Kaolack,59,sésame
2468,Pape Faye,M,Tambacounda,64,mil
2469,Rokhaya Diop,F,Fatick,34,arachide
2470,Coumba Fall,F,Mbour,32,patate douce
2471,Mariama Bamba,F,Mbour,50,mil
2472,Mamadou Sow Bamba,M,Louga,20,patate douce
2473,El Hadji Diallo,M,Louga,38,arachide
2474,helene Diakhate,F,Matam,37,manioc
2475,Mamadou Sarr Sy,M,Dakar,44,sésame
2476,Mamadou Sarr Sarr,M,Ziguinchor,36,manioc
2477,Sidy Bamba,M,Ziguinchor,32,arachide
2478,Moussa Gassama,M,Louga,48,igname
2479,Moussa Diouf,M,Saint-Louis,61,haricot
2480,Rokhaya Barry,F,Kolda,60,patate douce
2481,Khady Senghor,F,Louga,60,autres
2482,Pape Toure,M,Diourbel,62,légumes
2483,Sidy Camara,M,Thiès,56,igname
2484,Aminata Toure,F,Diourbel,34,igname
2485,Pape Fall,M,Dakar,27,patate douce
2486,Coumba Fofana,F,Kolda,31,patate douce
2487,helene Cissé,F,Matam,34,légumes
2488,Aminata Ndiaye,F,Ziguinchor,27,manioc
2489,Mamadou Fall,M,Thiès,22,mil
2490,Ibrahima Koulibaly,M,Saint-Louis,32,coton
2491,Aissatou Diakhate,F,Tambacounda,59,autres
2492,Ibrahima Sall,M,Kolda,34,igname
2493,Mamadou Boubacar Ndiaye,M,Thiès,52,igname
2494,Mamadou Toure,M,Ziguinchor,27,mais
2495,Lamine Barry,M,Dakar,37,mais
2496,Khady Sy,F,Ziguinchor,34,riz
2497,Bineta Diouf,F,Ziguinchor,63,haricot
2498,Moussa Sarr,M,Kaolack,30,fruits
2499,Mamadou Ndiaye Dieng,M,Saint-Louis,42,patate douce
2500,Khady Faye,F,Sédhiou,29,coton
2501,Aissatou Diakhate,F,Diourbel,36,coton
2502,Abdoulaye Senghor,M,Saint-Louis,19,manioc
2503,Coumba Balde,F,Matam,57,manioc
2504,Mamadou Lamine Keita,M,Dakar,56,coton
2505,Lamine Diakhate,M,Matam,41,légumes
2506,Moussa Diallo,M,Tambacounda,41,autres
2507,Ndeye Traoré,F,Fatick,32,légumes
2508,Mamadou Faye Diouf,M,Diourbel,38,fruits
2509,helene Gueye,F,Saint-Louis,64,fruits
2510,Seynabou Diakhate,F,Dakar,61,haricot
2511,Khady Koulibaly,F,Ziguinchor,23,sésame
2512,Mamadou Diop Gueye,M,Dakar,51,manioc
2513,Khady Sarr,F,Mbour,50,mais
2514,Fatou Bamba,F,Dakar,49,igname
2515,Ibrahima Diouf,M,Diourbel,21,légumes
2516,Modou Dieng,M,Kaolack,41,riz
2517,Moussa Traoré,M,Diourbel,55,autres
2518,Mamadou Ndiaye Fall,M,Diourbel,49,riz
2519,Cheikh Diagne,M,Ziguinchor,33,manioc
2520,Mariama Kouyaté,F,Louga,63,riz
2521,Aminata Keita,F,Saint-Louis,20,patate douce
2522,Cheikh Senghor,M,Tivaouane,48,sésame
2523,Modou Sy,M,Kolda,37,légumes
2524,Modou Thiam,M,Thiès,19,riz
2525,Babacar Bamba,M,Mbour,60,mais
2526,El Hadji Senghor,M,Dakar,63,coton
2527,Ndeye Fall,F,Mbour,36,igname
2528,Lamine Cissé,M,Kolda,45,mais
2529,Mariama Diouf,F,Sédhiou,19,haricot
2530,Moussa Traoré,M,Tambacounda,59,igname
2531,Mamadou Sarr,M,Saint-Louis,18,manioc
2532,Mamadou Ndiaye Sarr,M,Sédhiou,32,riz
2533,Coumba Diagne,F,Matam,44,haricot
2534,Mamadou Lamine Diop,M,Ziguinchor,36,igname
2535,Coumba Dabo,F,Matam,27,autres
2536,Babacar Dieng,M,Tambacounda,50,riz
2537,Modou Sall,M,Kolda,20,autres
2538,Ndeye Diouf,F,Matam,22,légumes
2539,Abdoulaye Keita,M,Saint-Louis,52,fruits
2540,Ndeye Camara,F,Kolda,47,manioc
2541,Mamadou Diop Diagne,M,Louga,31,mais
2542,Mamadou Thiam,M,Kolda,49,coton
2543,Mamadou Ndiaye Faye,M,Louga,63,manioc
2544,Mamadou Sow Camara,M,Matam,40,patate douce
2545,Adama Kouyaté,F,Saint-Louis,42,sésame
2546,Aissatou Sow,F,Saint-Louis,64,autres
2547,Mamadou Ndiaye Camara,M,Dakar,63,mil
2548,Aminata Senghor,F,Thiès,19,arachide
2549,Mamadou Faye Fall,M,Ziguinchor,20,coton
2550,Mariama Diakhate,F,Kaolack,53,riz
2551,Babacar Diagne,M,Fatick,23,autres
2552,Babacar Ba,M,Dakar,36,igname
2553,Cheikh Diop,M,Diourbel,23,haricot
2554,Lamine Faye,M,Dakar,39,légumes
2555,Khady Keita,F,Louga,38,haricot
2556,Khady Ndiaye,F,Kolda,47,haricot
2557,Seynabou Balde,F,Mbour,41,légumes
2558,Lamine Keita,M,Tivaouane,44,manioc
2559,Mamadou Boubacar Barry,M,Fatick,41,mais
2560,El Hadji Barry,M,Kaolack,57,riz
2561,Rokhaya Camara,F,Louga,50,haricot
2562,Coumba Diop,F,Louga,59,fruits
2563,Rokhaya Thiam,F,Tambacounda,43,coton
2564,Mamadou Sow Sow,M,Louga,43,autres
2565,Fatou Kane,F,Dakar,30,coton
2566,Aissatou Camara,F,Tivaouane,29,mil
2567,Mamadou Ndiaye Sall,M,Tivaouane,60,arachide
2568,Maty Sy,F,Tambacounda,61,coton
2569,Bineta Sy,F,Diourbel,29,riz
2570,Lamine Camara,M,Matam,46,mil
2571,Khady Camara,F,Matam,38,légumes
2572,Seynabou Kane,F,Mbour,53,fruits
2573,Rokhaya Camara,F,Matam,53,riz
2574,Aissatou Fall,F,Matam,36,mil
2575,Mamadou Sarr Barry,M,Mbour,51,mil
2576,Modou Diagne,M,Saint-Louis,49,mais
2577,Mamadou Diop Ba,M,Tivaouane,58,autres
2578,Ousmane Dabo,M,Diourbel,35,manioc
2579,Fatou Sow,F,Saint-Louis,61,haricot
2580,Aissatou Fofana,F,Tivaouane,36,haricot
2581,Ndeye Koulibaly,F,Ziguinchor,27,riz
2582,Coumba Cissé,F,Tivaouane,50,sésame
2583,Maty Senghor,F,Kaolack,52,autres
2584,Modou Barry,M,Mbour,36,coton
2585,Ibrahima Diallo,M,Mbour,43,igname
2586,Adama Gassama,F,Mbour,28,autres
2587,Modou Thiam,M,Kaolack,43,légumes
2588,Coumba Fofana,F,Kolda,19,manioc
2589,Aminata Gueye,F,Tambacounda,26,coton
2590,Mamadou Boubacar Diop,M,Tambacounda,57,sésame
2591,Mamadou Sow Camara,M,Matam,26,coton
2592,Mamadou Ndiaye Sarr,M,Diourbel,39,haricot
2593,Pape Ndoye,M,Kolda,25,coton
2594,Aissatou Sow,F,Kolda,55,fruits
2595,Mamadou Lamine Traoré,M,Matam,54,patate douce
2596,Bineta Faye,F,Dakar,60,riz
2597,Aminata Diop,F,Fatick,22,coton
2598,Mamadou Faye Kouyaté,M,Kolda,52,sésame
2599,Ousmane Diagne,M,Fatick,22,mil
2600,Sidy Camara,M,Louga,41,mais
2601,Ibrahima Senghor,M,Tambacounda,59,manioc
2602,Mariama Balde,F,Fatick,23,manioc
2603,Abdoulaye Sow,M,Tambacounda,60,riz
2604,Sidy Sall,M,Dakar,58,haricot
2605,Maty Gassama,F,Diourbel,20,arachide
2606,Mamadou Boubacar Barry,M,Kaolack,22,coton
2607,Coumba Cissé,F,Fatick,19,igname
2608,El Hadji Diallo,M,Fatick,18,riz
2609,Maty Sall,F,Sédhiou,29,fruits
2610,Mamadou Sow Diouf,M,Tivaouane,36,manioc
2611,Mamadou Faye Senghor,M,Tivaouane,65,légumes
2612,Ndeye Gassama,F,Matam,52,patate douce
2613,Maty Kouyaté,F,Dakar,35,mais
2614,Maty Diagne,F,Dakar,52,arachide
2615,El Hadji Kouyaté,M,Kaolack,51,arachide
2616,Babacar Sy,M,Tivaouane,32,manioc
2617,Ndeye Sy,F,Kolda,28,haricot
2618,Ousmane Traoré,M,Dakar,51,légumes
2619,Maty Cissé,F,Tambacounda,60,sésame
2620,Mamadou Senghor,M,Ziguinchor,54,coton
2621,Mamadou Boubacar Diallo,M,Mbour,27,riz
2622,Rokhaya Keita,F,Louga,33,autres
2623,Adama Diagne,F,Mbour,28,arachide
2624,Mamadou Boubacar Diouf,M,Matam,35,autres
2625,Aminata Balde,F,Fatick,35,autres
2626,Aissatou Sall,F,Sédhiou,49,riz
2627,Mamadou Boubacar Diallo,M,Thiès,62,igname
2628,Rokhaya Diallo,F,Sédhiou,39,riz
2629,Maty Kouyaté,F,Kolda,43,mil
2630,Maty Kouyaté,F,Saint-Louis,54,sésame
2631,Fatou Keita,F,Thiès,31,légumes
2632,Lamine Sy,M,Tivaouane,37,haricot
2633,Khady Toure,F,Saint-Louis,26,sésame
2634,Mamadou Boubacar Toure,M,Kolda,24,autres
2635,Seynabou Kouyaté,F,Ziguinchor,41,arachide
2636,Ousmane Sarr,M,Saint-Louis,49,igname
2637,Coumba Sarr,F,Fatick,60,igname
2638,Mamadou Ndiaye Koulibaly,M,Kolda,52,mais
2639,Cheikh Gassama,M,Saint-Louis,31,riz
2640,Modou Keita,M,Kaolack,41,mais
2641,Adama Bamba,F,Dakar,46,autres
2642,Khady Gueye,F,Dakar,42,mil
2643,Mamadou Faye Ndiaye,M,Saint-Louis,62,manioc
2644,Aissatou Diagne,F,Louga,60,riz
2645,Coumba Sarr,F,Dakar,63,coton
2646,Seynabou Koulibaly,F,Tambacounda,44,patate douce
2647,Ousmane Sow,M,Matam,37,igname
2648,Mamadou Diop Faye,M,Kaolack,45,riz
2649,Mamadou Sow Kouyaté,M,Thiès,54,manioc
2650,Abdoulaye Diagne,M,Sédhiou,18,légumes
2651,Cheikh Camara,M,Dakar,59,mais
2652,Pape Thiam,M,Thiès,54,haricot
2653,Maty Sow,F,Kaolack,21,mais
2654,helene Dieng,F,Kaolack,31,patate douce
2655,Mamadou Diop Fofana,M,Sédhiou,48,sésame
2656,Mamadou Ndiaye Thiam,M,Kaolack,23,sésame
2657,Adama Fofana,F,Tivaouane,58,mil
2658,Coumba Barry,F,Diourbel,61,mais
2659,Ibrahima Traoré,M,Dakar,61,igname
2660,Coumba Thiam,F,Louga,63,haricot
2661,Rokhaya Traoré,F,Diourbel,31,autres
2662,Mamadou Faye Fofana,M,Kaolack,61,manioc
2663,Sidy Bamba,M,Kaolack,20,autres
2664,Mamadou Lamine Ndiaye,M,Tivaouane,64,mil
2665,Mamadou Faye Diakhate,M,Saint-Louis,56,riz
2666,Khady Bamba,F,Sédhiou,65,mil
2667,Aissatou Sarr,F,Tambacounda,33,fruits
2668,Maty Diop,F,Fatick,52,riz
2669,Rokhaya Camara,F,Saint-Louis,28,mil
2670,Ibrahima Diop,M,Matam,35,riz
2671,Aissatou Sarr,F,Matam,43,patate douce
2672,Aminata Diallo,F,Saint-Louis,31,mais
2673,Moussa Cissé,M,Kolda,37,igname
2674,helene Kane,F,Ziguinchor,38,légumes
2675,Abdoulaye Balde,M,Sédhiou,19,arachide
2676,Ibrahima Sall,M,Kaolack,52,riz
2677,Mamadou Sarr Camara,M,Ziguinchor,49,légumes
2678,Mamadou Boubacar Sow,M,Tambacounda,38,igname
2679,Ndeye Senghor,F,Kolda,22,fruits
2680,Maty Balde,F,Tambacounda,40,mil
2681,Bineta Diagne,F,Diourbel,32,mais
2682,Babacar Thiam,M,Kolda,51,riz
2683,Aminata Camara,F,Diourbel,46,riz
2684,Rokhaya Gueye,F,Saint-Louis,60,fruits
2685,Moussa Dieng,M,Mbour,62,sésame
2686,Khady Gueye,F,Mbour,19,haricot
2687,Pape Gassama,M,Sédhiou,54,coton
2688,Mamadou Camara,M,Fatick,59,mais
2689,Fatou Thiam,F,Kolda,50,fruits
2690,Ibrahima Gueye,M,Ziguinchor,56,sésame
2691,Ndeye Ndiaye,F,Diourbel,58,arachide
2692,Bineta Sarr,F,Tivaouane,29,fruits
2693,Rokhaya Diop,F,Thiès,44,légumes
2694,Mamadou Faye Balde,M,Kaolack,49,igname
2695,Fatou Bamba,F,Kolda,20,légumes
2696,helene Balde,F,Fatick,51,légumes
2697,Bineta Diagne,F,Tambacounda,18,coton
2698,Abdoulaye Camara,M,Diourbel,31,coton
2699,Maty Dabo,F,Tambacounda,57,mil
2700,Ibrahima Balde,M,Dakar,38,patate douce
2701,Maty Sow,F,Saint-Louis,48,autres
2702,Mamadou Lamine Gueye,M,Dakar,23,patate douce
2703,Cheikh Senghor,M,Ziguinchor,47,légumes
2704,Ibrahima Ba,M,Diourbel,48,patate douce
2705,El Hadji Dabo,M,Saint-Louis,50,coton
2706,Pape Traoré,M,Sédhiou,27,autres
2707,helene Faye,F,Louga,42,arachide
2708,Mamadou Diakhate,M,Saint-Louis,48,légumes
2709,Maty Fall,F,Ziguinchor,54,coton
2710,Sidy Camara,M,Louga,24,fruits
2711,Ndeye Diouf,F,Fatick,39,igname
2712,Sidy Sow,M,Diourbel,34,manioc
2713,Abdoulaye Keita,M,Thiès,31,autres
2714,Seynabou Ba,F,Tivaouane,29,igname
2715,Bineta Koulibaly,F,Kaolack,59,arachide
2716,Moussa Diagne,M,Kolda,33,fruits
2717,Mamadou Barry,M,Ziguinchor,48,mil
2718,Mamadou Ndiaye Sall,M,Tambacounda,20,coton
2719,Mamadou Lamine Ba,M,Diourbel,48,autres
2720,Aissatou Ba,F,Dakar,51,autres
2721,Mamadou Boubacar Camara,M,Mbour,63,patate douce
2722,Lamine Kouyaté,M,Diourbel,64,patate douce
2723,Bineta Traoré,F,Kaolack,53,haricot
2724,Fatou Sow,F,Tivaouane,43,coton
2725,Rokhaya Toure,F,Thiès,40,patate douce
2726,Mamadou Sarr Ndiaye,M,Tambacounda,22,mil
2727,Adama Thiam,F,Fatick,33,riz
2728,Adama Camara,F,Louga,56,fruits
2729,Khady Sow,F,Matam,22,autres
2730,Aissatou Camara,F,Tambacounda,58,igname
2731,Ousmane Kane,M,Ziguinchor,47,patate douce
2732,Seynabou Kane,F,Kaolack,20,fruits
2733,Ndeye Keita,F,Diourbel,24,mil
2734,Maty Dabo,F,Ziguinchor,44,coton
2735,Maty Sarr,F,Matam,34,mil
2736,Ibrahima Koulibaly,M,Saint-Louis,56,légumes
2737,Rokhaya Ba,F,Mbour,65,arachide
2738,Ibrahima Koulibaly,M,Sédhiou,42,sésame
2739,Fatou Dieng,F,Tivaouane,31,haricot
2740,Abdoulaye Diouf,M,Kolda,31,fruits
2741,Lamine Cissé,M,Tivaouane,65,igname
2742,Mamadou Sarr Diallo,M,Kaolack,44,haricot
2743,Mariama Diakhate,F,Kaolack,44,manioc
2744,Mariama Gassama,F,Tambacounda,43,riz
2745,Moussa Traoré,M,Saint-Louis,39,mil
2746,Ibrahima Camara,M,Matam,53,igname
2747,Mamadou Ndiaye Sall,M,Diourbel,28,patate douce
2748,Seynabou Thiam,F,Tambacounda,24,mais
2749,Mariama Sall,F,Ziguinchor,30,arachide
2750,Modou Traoré,M,Thiès,50,autres
2751,Bineta Diagne,F,Dakar,34,arachide
2752,Khady Sall,F,Tambacounda,21,sésame
2753,Fatou Diallo,F,Kaolack,34,autres
2754,Mariama Bamba,F,Louga,39,mais
2755,Sidy Sarr,M,Matam,37,patate douce
2756,Ousmane Ndoye,M,Diourbel,56,arachide
2757,El Hadji Dabo,M,Tivaouane,39,autres
2758,Maty Faye,F,Fatick,35,manioc
2759,Fatou Traoré,F,Fatick,60,mais
2760,Fatou Thiam,F,Saint-Louis,42,coton
2761,Adama Koulibaly,F,Tivaouane,21,mais
2762,Khady Ba,F,Louga,52,riz
2763,Mamadou Sarr Kouyaté,M,Thiès,48,igname
2764,Sidy Sy,M,Ziguinchor,51,mais
2765,Lamine Fall,M,Ziguinchor,52,légumes
2766,Babacar Sy,M,Fatick,30,sésame
2767,Mamadou Koulibaly,M,Sédhiou,34,manioc
2768,Mamadou Faye Bamba,M,Kaolack,21,manioc
2769,Mariama Dabo,F,Louga,27,manioc
2770,Mamadou Sarr Diouf,M,Sédhiou,64,mil
2771,Fatou Kane,F,Sédhiou,37,haricot
2772,Fatou Gassama,F,Mbour,48,autres
2773,Seynabou Dabo,F,Sédhiou,24,manioc
2774,helene Senghor,F,Saint-Louis,56,manioc
2775,Mamadou Lamine Diakhate,M,Matam,48,autres
2776,Abdoulaye Camara,M,Sédhiou,65,coton
2777,Mamadou Boubacar Diakhate,M,Dakar,38,riz
2778,Ndeye Gassama,F,Kolda,27,fruits
2779,Bineta Barry,F,Tambacounda,42,autres
2780,Seynabou Diallo,F,Kolda,57,coton
2781,Lamine Sow,M,Diourbel,63,mil
2782,Mamadou Boubacar Sarr,M,Kaolack,23,riz
2783,Cheikh Barry,M,Fatick,31,mais
2784,Aissatou Kane,F,Ziguinchor,60,haricot
2785,Mamadou Sow Barry,M,Mbour,36,igname
2786,Rokhaya Toure,F,Ziguinchor,23,arachide
2787,Mamadou Boubacar Diallo,M,Mbour,23,haricot
2788,Fatou Toure,F,Tambacounda,30,autres
2789,Mamadou Diop Ba,M,Saint-Louis,64,coton
2790,Rokhaya Koulibaly,F,Fatick,45,légumes
2791,Ndeye Fofana,F,Tambacounda,55,arachide
2792,Fatou Sow,F,Dakar,44,fruits
2793,Ndeye Bamba,F,Ziguinchor,34,légumes
2794,Aissatou Dabo,F,Kolda,20,mil
2795,Aminata Thiam,F,Saint-Louis,22,mil
2796,Abdoulaye Diouf,M,Louga,28,mais
2797,Lamine Sy,M,Fatick,28,sésame
2798,Maty Toure,F,Matam,30,sésame
2799,Mamadou Faye Dieng,M,Tambacounda,43,haricot
2800,Moussa Sy,M,Saint-Louis,61,patate douce
2801,Mamadou Sarr Sarr,M,Fatick,52,riz
2802,Mamadou Sow Keita,M,Matam,39,fruits
2803,Cheikh Diagne,M,Louga,53,mil
2804,El Hadji Faye,M,Diourbel,46,arachide
2805,Ndeye Ndiaye,F,Sédhiou,59,patate douce
2806,Mamadou Faye Fofana,M,Thiès,57,fruits
2807,Aissatou Cissé,F,Matam,25,mil
2808,Fatou Sow,F,Thiès,24,mais
2809,Mamadou Faye Diakhate,M,Fatick,54,mil
2810,Mamadou Sow Gassama,M,Louga,60,igname
2811,Khady Diallo,F,Saint-Louis,64,fruits
2812,Rokhaya Diallo,F,Mbour,60,fruits
2813,Aminata Ndiaye,F,Kaolack,38,coton
2814,Fatou Sow,F,Fatick,55,igname
2815,Adama Dabo,F,Diourbel,32,patate douce
2816,Adama Dieng,F,Ziguinchor,44,arachide
2817,Pape Fall,M,Sédhiou,30,fruits
2818,Aminata Dabo,F,Sédhiou,29,fruits
2819,Mariama Ndoye,F,Ziguinchor,46,haricot
2820,Mamadou Faye Cissé,M,Matam,42,légumes
2821,Mamadou Sarr Fofana,M,Sédhiou,64,mais
2822,Khady Cissé,F,Diourbel,53,riz
2823,Ndeye Senghor,F,Kaolack,38,légumes
2824,El Hadji Toure,M,Kolda,19,mil
2825,El Hadji Faye,M,Louga,34,autres
2826,Pape Koulibaly,M,Diourbel,35,fruits
2827,Abdoulaye Diop,M,Thiès,53,légumes
2828,Mariama Faye,F,Fatick,57,patate douce
2829,Cheikh Cissé,M,Sédhiou,35,sésame
2830,Mariama Faye,F,Tambacounda,51,mais
2831,Mamadou Boubacar Gueye,M,Louga,39,légumes
2832,Mamadou Boubacar Ndoye,M,Dakar,45,mais
2833,El Hadji Diop,M,Thiès,31,riz
2834,Mamadou Sow Camara,M,Tambacounda,47,mil
2835,Coumba Kouyaté,F,Fatick,22,haricot
2836,Maty Sow,F,Thiès,49,fruits
2837,helene Barry,F,Dakar,30,patate douce
2838,Seynabou Toure,F,Diourbel,25,sésame
2839,Maty Dabo,F,Thiès,27,igname
2840,Bineta Kouyaté,F,Thiès,28,igname
2841,Cheikh Diallo,M,Fatick,18,manioc
2842,Maty Thiam,F,Tambacounda,41,riz
2843,Mamadou Sarr Toure,M,Saint-Louis,54,sésame
2844,El Hadji Sow,M,Tambacounda,35,patate douce
2845,Mariama Fofana,F,Louga,63,mil
2846,Fatou Sy,F,Ziguinchor,37,riz
2847,Mariama Cissé,F,Kaolack,28,manioc
2848,Adama Gueye,F,Saint-Louis,27,fruits
2849,Adama Faye,F,Fatick,58,coton
2850,Aminata Diouf,F,Tivaouane,22,sésame
2851,Fatou Sow,F,Diourbel,40,manioc
2852,El Hadji Diagne,M,Diourbel,23,igname
2853,Khady Diallo,F,Louga,54,mais
2854,Ibrahima Balde,M,Diourbel,49,haricot
2855,Mamadou Sow Fall,M,Kolda,54,manioc
2856,Lamine Barry,M,Tivaouane,39,igname
2857,Mamadou Lamine Fall,M,Diourbel,25,sésame
2858,Seynabou Balde,F,Dakar,57,coton
2859,Lamine Diallo,M,Tambacounda,30,mais
2860,Mamadou Sarr Sy,M,Ziguinchor,32,sésame
2861,Adama Traoré,F,Ziguinchor,22,manioc
2862,Ndeye Ndoye,F,Mbour,19,riz
2863,Mamadou Boubacar Faye,M,Mbour,23,arachide
2864,Mamadou Boubacar Sy,M,Dakar,60,manioc
2865,Mamadou Sow,M,Dakar,44,légumes
2866,Pape Ba,M,Dakar,62,igname
2867,Khady Dieng,F,Ziguinchor,29,riz
2868,Adama Koulibaly,F,Dakar,56,sésame
2869,Cheikh Diallo,M,Tivaouane,40,coton
2870,Mamadou Diop Toure,M,Matam,31,riz
2871,Modou Ba,M,Ziguinchor,44,riz
2872,Mamadou Ndiaye Camara,M,Tambacounda,55,haricot
2873,Seynabou Fall,F,Louga,21,arachide
2874,Aminata Traoré,F,Saint-Louis,34,igname
2875,Rokhaya Kane,F,Matam,59,mil
2876,Maty Ndiaye,F,Sédhiou,34,patate douce
2877,Khady Kouyaté,F,Diourbel,60,igname
2878,Mamadou Boubacar Sall,M,Ziguinchor,36,igname
2879,Abdoulaye Ndoye,M,Diourbel,55,mais
2880,Mamadou Ndiaye,M,Louga,21,coton
2881,Aissatou Sarr,F,Sédhiou,23,légumes
2882,Mamadou Diop Ba,M,Tivaouane,43,légumes
2883,Mamadou Faye Diouf,M,Ziguinchor,33,manioc
2884,Mamadou Traoré,M,Thiès,39,patate douce
2885,Coumba Bamba,F,Tambacounda,65,mil
2886,Mamadou Ndiaye Ndiaye,M,Ziguinchor,39,fruits
2887,Rokhaya Ndoye,F,Thiès,19,coton
2888,Mamadou Sarr Cissé,M,Dakar,65,mais
2889,Mamadou Sow Ndoye,M,Thiès,38,igname
2890,Ibrahima Ba,M,Matam,39,fruits
2891,Pape Bamba,M,Diourbel,60,légumes
2892,Adama Gueye,F,Kolda,28,autres
2893,Mamadou Dieng,M,Kaolack,55,igname
2894,Mamadou Sarr Fofana,M,Diourbel,20,igname
2895,Aminata Diallo,F,Mbour,36,riz
2896,Ndeye Camara,F,Kaolack,50,légumes
2897,Ousmane Traoré,M,Ziguinchor,26,riz
2898,Mamadou Lamine Diallo,M,Mbour,51,igname
2899,Mariama Sy,F,Louga,34,riz
2900,Khady Kouyaté,F,Kolda,31,igname
2901,El Hadji Balde,M,Ziguinchor,51,fruits
2902,Adama Diallo,F,Thiès,43,sésame
2903,Ndeye Gassama,F,Louga,60,patate douce
2904,Ndeye Keita,F,Tivaouane,27,arachide
2905,Lamine Koulibaly,M,Mbour,35,légumes
2906,Bineta Sy,F,Tivaouane,18,manioc
2907,Aminata Diouf,F,Fatick,25,coton
2908,Coumba Sall,F,Fatick,47,patate douce
2909,Mamadou Toure,M,Diourbel,33,sésame
2910,Mariama Fofana,F,Dakar,43,sésame
2911,Babacar Ndoye,M,Louga,54,fruits
2912,Moussa Gassama,M,Saint-Louis,41,igname
2913,Fatou Sall,F,Ziguinchor,37,haricot
2914,Aissatou Fofana,F,Tivaouane,33,sésame
2915,Coumba Senghor,F,Kaolack,35,mais
2916,Mamadou Diop Gassama,M,Saint-Louis,45,autres
2917,Bineta Dieng,F,Kolda,22,sésame
2918,Sidy Koulibaly,M,Fatick,28,mais
2919,Babacar Camara,M,Tambacounda,30,patate douce
2920,Sidy Sy,M,Diourbel,37,mil
2921,Bineta Diouf,F,Diourbel,55,manioc
2922,Sidy Sarr,M,Matam,63,mais
2923,Adama Sall,F,Diourbel,60,sésame
2924,Bineta Thiam,F,Dakar,49,mil
2925,Aissatou Balde,F,Louga,23,autres
2926,Pape Gassama,M,Sédhiou,31,mais
2927,Mariama Koulibaly,F,Saint-Louis,25,patate douce
2928,Fatou Camara,F,Tivaouane,39,riz
2929,Modou Diouf,M,Sédhiou,61,mil
2930,Mamadou Sarr,M,Thiès,52,légumes
2931,helene Sall,F,Kolda,25,mais
2932,Lamine Sarr,M,Dakar,57,légumes
2933,Sidy Sarr,M,Dakar,28,riz
2934,Abdoulaye Diallo,M,Matam,19,haricot
2935,Mamadou Boubacar Fall,M,Matam,59,patate douce
2936,Ndeye Sarr,F,Thiès,54,mais
2937,Mamadou Boubacar Diop,M,Kaolack,51,fruits
2938,Mamadou Lamine Kouyaté,M,Fatick,22,mil
2939,Mamadou Diop Dieng,M,Kolda,60,mil
2940,Adama Balde,F,Tivaouane,28,mil
2941,Babacar Sow,M,Saint-Louis,41,sésame
2942,Khady Bamba,F,Kaolack,50,autres
2943,Lamine Cissé,M,Diourbel,21,riz
2944,Ndeye Sy,F,Mbour,36,coton
2945,Mamadou Diop Gueye,M,Thiès,24,fruits
2946,Seynabou Fofana,F,Saint-Louis,59,légumes
2947,Ousmane Koulibaly,M,Ziguinchor,28,riz
2948,Pape Balde,M,Diourbel,35,légumes
2949,Mamadou Sow Thiam,M,Tambacounda,56,patate douce
2950,Seynabou Diakhate,F,Tivaouane,58,autres
2951,Seynabou Kane,F,Kolda,22,haricot
2952,Adama Diop,F,Dakar,25,autres
2953,Sidy Kane,M,Dakar,61,fruits
2954,Aissatou Dabo,F,Ziguinchor,58,arachide
2955,Mamadou Boubacar Toure,M,Saint-Louis,52,haricot
2956,Lamine Ba,M,Sédhiou,36,mais
2957,helene Diop,F,Saint-Louis,33,sésame
2958,Khady Senghor,F,Kaolack,25,mais
2959,Mamadou Sow Fofana,M,Louga,19,arachide
2960,Ibrahima Sow,M,Mbour,52,manioc
